Time	Quote	Title of book	Author
00:00	As midnight was striking bronze blows upon the dusky air, Dorian Gray, dressed commonly, and with a muffler wrapped round his throat, crept quietly out of his house.	The Picture of Dorian Gray	Oscar Wilde
00:01	With the appointed execution time of one minute past midnight just seconds away, I knocked on the metal door twice. The lock turned and the door swiftly swung open.	Death at Midnight	Donald A. Cabana
00:02	Two minutes past midnight. With me in the lead the fourteen other men of Teams Yellow, White and Red moved out of the clearing and separated for points along the wall where they would cross over into the grounds.	Night of the Krait	Shashi Warrier
00:03	It was just three minutes past midnight when I last saw Archer Harrison alive. I remember, because I said it was two minutes past and he looked at his watch and said it was three minutes past.	Since Ibsen	George Jean Nathan
00:04	Ralf didn't need to look at his watch to know that it was four minutes past midnight. He knew that this was the deciding moment with every fibre of his being.	The Turnarounders and the Arbuckle Rescue	Lou Heneghan
00:05	I have done everything and spent every effort in getting you additional food, and I pledge to do the utmost in the future to protect you and safeguard your daily bread. I shall continue doing everything I can for you until five minutes past midnight.	Schindler's List	Thomas Keneally
00:06	At six minutes past midnight, death relieved the sufferer.	West of Hell's Fringe	Glenn Shirley
00:07	It was 7 minutes after midnight. The dog was lying on the grass in the middle of the lawn in front of Mrs Shears' house. Its eyes were closed. It looked as if it was running on its side, the way dogs run when they think they are chasing a cat in a dream.	The Curious Incident of the Dog in the Night-time	Mark Haddon
00:08	'Hour of the night!' exclaimed the priest; 'it is day, not night, and the hour is eight past midnight!'	The Brigantine	James Pascoe
00:09	It had to be different. They had been in the air three hours when Gorman touched his arm. 'This is it,' he said, 'two minutes!'<br>'Take her down,' Madden told Scofield, 'and put her on the ground in a hurry.' It was nine minutes past midnight. Scofield glanced over his shoulder, indicating the altimeter with a finger.	Flight to Enbetu	Louis L'Amour
00:10	It was at ten minutes past midnight. Three police cars, Alsations and a black maria arrive at the farmhouse. The farmer clad only in a jock-strap, refused them entry.	The Queue	Jonathan Barrow
00:11	The first incendiaries to hit St Thomas's Hospital had splattered Riddell House at eleven minutes past midnight, from where a few hours earlier the Archbishop of Canterbury had given 'an inspiring address'.	The Longest Night	Gavin Mortimer
00:12	It was twelve minutes past midnight when mother and daughter saw the first lightning strike. It hit the main barn with such force the ground trembled under their feet.	Kentucky Heat	Fern Michaels
00:13	It is 12:13 in the morning. My fingers do not feel like they are made of fingers; they feel like they are made of motion. I am tickling the steering wheel as I drive.	Paper Towns	John Green
00:14	It was exactly fourteen minutes past midnight when he completed the final call. Among the men he had reched were honourable men. Their voices would be heard by the President.	The Matarese Circle	Robert Ludlum
00:15	At will I could slay thousands of your best citizens, for I am in close relationship with the Angel of Death. Now, to be exact, at 12:15 (earthly time) on next Tuesday night, I am going to pass over New Orleans.	The Axeman's Jazz	Ray Celestin
00:16	I sat up with a grunt, staring around, trying to see. Darkness hung like a fog in my room, and I reached out groggily for my clock. 12.16.	Eren	Simon P. Clark
00:17	Kava ordered two glasses of coffee for himself and his beloved and some cake. When the pair left, exactly seventeen minutes after twelve, the club began to buzz with excitement.	Vanvild Kava	Isaac Bashevis Singer
00:18	Then at eighteen minutes past midnight there was a moving flare of light in the gap between the lounge and the bar.	A Wanted Man	Lee Child
00:19	'The villas were all modern concrete buildings built by the Italian invaders. 'Right there,' Hood said. The men gathered around him. It was nineteen minutes past midnight. 'That's the villa. Rommel is in there, gentlemen. Let's make it his last resting place.'	Praetorian	Thomas Gifford
00:20	Now she was kneading the little ball of hot paste on the convex margin of the bowl and I could smell the opium. There is no smell like it. Beside the bed the alarm-clock showed twelve-twenty, but already my tension was over. Pyle had diminished.	The Quiet American	Graham Greene
00:21	Nobody had been one of Mycroft Ward's most important operatives and for sixty seconds every day, between 12.21am...	The Raw Shark Texts	Steven Hall
00:22	...and 12.22am., his laptop was permitted to connect directly with the gigantic online database of self that was Mycroft Ward's mind.	The Raw Shark Texts	Steven Hall
00:23	Oskar weighed the wristwatch in his hand, then gave the rather fine piece with its luminous dial showing twenty-three minutes past midnight to little Pinchcoal. He looked up inquiringly at his chief. Störtebeker nodded his assent. And Oskar said, as he adjusted his drum snugly for the trip home: 'Jesus will lead the way. Follow thou me!'	The Tin Drum	Günter Grass
00:24	Sanders with Sutton as his gunner began their patrol at 12.24am, turning south towards Beachy Head at 10,000 ft.	The Longest Night	Gavin Mortimer
00:25	I mean, look at the time! Twenty-five past midnight! It was a triumph, it really was!	The Soldier's Wife	Joanna Trollope
00:26	'A Mr Dutta from King's Cross called and told me you were on your way. He said you wanted to see the arrival of yesterday's 12.26am. It'll take me a few minutes to cue up the footage. Our regular security bloke isn't here today; he's up before Haringey Magistrates' Court for gross indecency outside the headquarters of the Dagenham Girl Pipers.'	Bryant & May Off the Rails	Christopher Fowler
